LCQI vs llama.cpp SmolLM2 Same Input Compare

timestamp_utc=2026-06-30T17:35:35.776435+00:00
repo_commit=unknown
working_tree_dirty=unknown
host=caw
uname=Linux caw 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 GNU/Linux
nproc=20
python=3.13.9
cache_dir=/home/aoweichen/.cache/lcqi-smollm2-small-smoke

model_source=bartowski/SmolLM2-135M-Instruct-GGUF
model_file=SmolLM2-135M-Instruct-Q4_K_M.gguf
model_path=/home/aoweichen/.cache/lcqi-smollm2-small-smoke/models/SmolLM2-135M-Instruct-Q4_K_M.gguf
model_expected_bytes=105454432
model_actual_bytes=105454432
model_expected_sha256=2e8040ceae7815abe0dcb3540b9995eaa1fa0d2ca9e797d0a635ae4433c68c2d
model_actual_sha256=2e8040ceae7815abe0dcb3540b9995eaa1fa0d2ca9e797d0a635ae4433c68c2d
model_identity_match=true
llama_cpp_expected_commit=b3fed31b99f9bd37725833674252bccb429bb183
llama_cpp_source_git_commit=unavailable
llama_cpp_source_commit_verified=false
llama_cpp_skip_build=true

user_prompt=Hello
max_new_tokens=2
expanded_chat_prompt=<|im_start|>system\nYou are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>\n<|im_start|>user\nHello<|im_end|>\n<|im_start|>assistant\n

scope=LCQI uses its internal SmolLM2 chat-prompt builder from the same user prompt. llama-simple receives the expanded chat prompt string directly. The same-input check is prompt-token-count equality plus matching visible generated suffix; llama-bench is reported separately as same-token-count synthetic throughput, not same text.

[summary:lcqi_q4_direct_off_same_input]
rounds=5
benchmark_load_ms_median=293.726000 benchmark_load_ms_min=291.390000 benchmark_load_ms_max=378.927000
benchmark_prefill_ms_median=35.089900 benchmark_prefill_ms_min=34.279800 benchmark_prefill_ms_max=36.031600
derived_prefill_ms_per_prompt_token_median=1.131932 derived_prefill_ms_per_prompt_token_min=1.105800 derived_prefill_ms_per_prompt_token_max=1.162310
derived_prefill_prompt_tokens_per_second_median=883.445094 derived_prefill_prompt_tokens_per_second_min=860.355910 derived_prefill_prompt_tokens_per_second_max=904.322662
benchmark_decode_ms_median=6.507910 benchmark_decode_ms_min=6.473530 benchmark_decode_ms_max=6.655460
derived_decode_ms_per_step_median=6.507910 derived_decode_ms_per_step_min=6.473530 derived_decode_ms_per_step_max=6.655460
benchmark_decode_tokens_per_second_median=153.659000 benchmark_decode_tokens_per_second_min=150.253000 benchmark_decode_tokens_per_second_max=154.475000
benchmark_worker_count_median=8.000000 benchmark_worker_count_min=8.000000 benchmark_worker_count_max=8.000000
derived_f32_weight_inflation_ratio_median=5.190199 derived_f32_weight_inflation_ratio_min=5.190199 derived_f32_weight_inflation_ratio_max=5.190199
derived_direct_quantized_weight_byte_share_median=0.000000 derived_direct_quantized_weight_byte_share_min=0.000000 derived_direct_quantized_weight_byte_share_max=0.000000
benchmark_hotspot_rms_norm_ms_median=0.499296 benchmark_hotspot_rms_norm_ms_min=0.475958 benchmark_hotspot_rms_norm_ms_max=0.501498
benchmark_hotspot_attention_ms_median=3.172000 benchmark_hotspot_attention_ms_min=3.136980 benchmark_hotspot_attention_ms_max=3.427110
benchmark_hotspot_rope_ms_median=2.892730 benchmark_hotspot_rope_ms_min=2.797620 benchmark_hotspot_rope_ms_max=3.171550
benchmark_hotspot_wq_ms_median=2.558530 benchmark_hotspot_wq_ms_min=2.423340 benchmark_hotspot_wq_ms_max=2.803610
benchmark_hotspot_wk_ms_median=4.242080 benchmark_hotspot_wk_ms_min=4.186270 benchmark_hotspot_wk_ms_max=4.459200
benchmark_hotspot_wv_ms_median=4.210100 benchmark_hotspot_wv_ms_min=4.093310 benchmark_hotspot_wv_ms_max=4.289110
benchmark_hotspot_wo_ms_median=2.400000 benchmark_hotspot_wo_ms_min=2.262590 benchmark_hotspot_wo_ms_max=2.616760
benchmark_hotspot_w_gate_ms_median=5.957040 benchmark_hotspot_w_gate_ms_min=5.899750 benchmark_hotspot_w_gate_ms_max=6.057610
benchmark_hotspot_w_up_ms_median=5.779340 benchmark_hotspot_w_up_ms_min=5.428490 benchmark_hotspot_w_up_ms_max=5.871510
benchmark_hotspot_w_down_ms_median=5.088270 benchmark_hotspot_w_down_ms_min=4.687420 benchmark_hotspot_w_down_ms_max=5.234180
benchmark_hotspot_lm_head_ms_median=2.375280 benchmark_hotspot_lm_head_ms_min=2.349590 benchmark_hotspot_lm_head_ms_max=2.723740
benchmark_hotspot_q4_k_direct_ms_median=0.000000 benchmark_hotspot_q4_k_direct_ms_min=0.000000 benchmark_hotspot_q4_k_direct_ms_max=0.000000
benchmark_hotspot_ggml_direct_ms_median=0.000000 benchmark_hotspot_ggml_direct_ms_min=0.000000 benchmark_hotspot_ggml_direct_ms_max=0.000000
benchmark_hotspot_f32_fallback_ms_median=30.388500 benchmark_hotspot_f32_fallback_ms_min=29.215100 benchmark_hotspot_f32_fallback_ms_max=30.762800
benchmark_hotspot_q4_k_direct_calls_median=0.000000 benchmark_hotspot_q4_k_direct_calls_min=0.000000 benchmark_hotspot_q4_k_direct_calls_max=0.000000
benchmark_hotspot_ggml_direct_calls_median=0.000000 benchmark_hotspot_ggml_direct_calls_min=0.000000 benchmark_hotspot_ggml_direct_calls_max=0.000000
benchmark_hotspot_f32_fallback_calls_median=420.000000 benchmark_hotspot_f32_fallback_calls_min=420.000000 benchmark_hotspot_f32_fallback_calls_max=420.000000
benchmark_q4_k_direct_tensors_median=0.000000 benchmark_q4_k_direct_tensors_min=0.000000 benchmark_q4_k_direct_tensors_max=0.000000
benchmark_ggml_direct_tensors_median=0.000000 benchmark_ggml_direct_tensors_min=0.000000 benchmark_ggml_direct_tensors_max=0.000000
benchmark_f32_fallback_tensors_median=272.000000 benchmark_f32_fallback_tensors_min=272.000000 benchmark_f32_fallback_tensors_max=272.000000

[summary:lcqi_batch_prefill_off_same_input]
rounds=5
benchmark_load_ms_median=264.196000 benchmark_load_ms_min=262.960000 benchmark_load_ms_max=264.759000
benchmark_prefill_ms_median=159.162000 benchmark_prefill_ms_min=155.018000 benchmark_prefill_ms_max=160.901000
derived_prefill_ms_per_prompt_token_median=5.134258 derived_prefill_ms_per_prompt_token_min=5.000581 derived_prefill_ms_per_prompt_token_max=5.190355
derived_prefill_prompt_tokens_per_second_median=194.770108 derived_prefill_prompt_tokens_per_second_min=192.665055 derived_prefill_prompt_tokens_per_second_max=199.976777
benchmark_decode_ms_median=6.370410 benchmark_decode_ms_min=5.985140 benchmark_decode_ms_max=6.641960
derived_decode_ms_per_step_median=6.370410 derived_decode_ms_per_step_min=5.985140 derived_decode_ms_per_step_max=6.641960
benchmark_decode_tokens_per_second_median=156.976000 benchmark_decode_tokens_per_second_min=150.558000 benchmark_decode_tokens_per_second_max=167.080000
benchmark_worker_count_median=8.000000 benchmark_worker_count_min=8.000000 benchmark_worker_count_max=8.000000
derived_f32_weight_inflation_ratio_median=4.644005 derived_f32_weight_inflation_ratio_min=4.644005 derived_f32_weight_inflation_ratio_max=4.644005
derived_direct_quantized_weight_byte_share_median=0.076809 derived_direct_quantized_weight_byte_share_min=0.076809 derived_direct_quantized_weight_byte_share_max=0.076809
benchmark_hotspot_rms_norm_ms_median=0.721647 benchmark_hotspot_rms_norm_ms_min=0.702135 benchmark_hotspot_rms_norm_ms_max=0.805485
benchmark_hotspot_attention_ms_median=4.402790 benchmark_hotspot_attention_ms_min=4.295010 benchmark_hotspot_attention_ms_max=4.611060
benchmark_hotspot_rope_ms_median=3.094620 benchmark_hotspot_rope_ms_min=3.000280 benchmark_hotspot_rope_ms_max=3.174510
benchmark_hotspot_wq_ms_median=14.756800 benchmark_hotspot_wq_ms_min=14.232700 benchmark_hotspot_wq_ms_max=15.083500
benchmark_hotspot_wk_ms_median=11.237500 benchmark_hotspot_wk_ms_min=10.991900 benchmark_hotspot_wk_ms_max=11.474300
benchmark_hotspot_wv_ms_median=11.271600 benchmark_hotspot_wv_ms_min=11.076300 benchmark_hotspot_wv_ms_max=11.333200
benchmark_hotspot_wo_ms_median=15.551200 benchmark_hotspot_wo_ms_min=14.783500 benchmark_hotspot_wo_ms_max=15.964200
benchmark_hotspot_w_gate_ms_median=37.346700 benchmark_hotspot_w_gate_ms_min=36.936100 benchmark_hotspot_w_gate_ms_max=38.363400
benchmark_hotspot_w_up_ms_median=37.290300 benchmark_hotspot_w_up_ms_min=36.298500 benchmark_hotspot_w_up_ms_max=38.159300
benchmark_hotspot_w_down_ms_median=21.571000 benchmark_hotspot_w_down_ms_min=21.136600 benchmark_hotspot_w_down_ms_max=22.223800
benchmark_hotspot_lm_head_ms_median=2.468980 benchmark_hotspot_lm_head_ms_min=2.398160 benchmark_hotspot_lm_head_ms_max=2.616690
benchmark_hotspot_q4_k_direct_ms_median=4.960480 benchmark_hotspot_q4_k_direct_ms_min=4.703450 benchmark_hotspot_q4_k_direct_ms_max=5.209660
benchmark_hotspot_ggml_direct_ms_median=0.000000 benchmark_hotspot_ggml_direct_ms_min=0.000000 benchmark_hotspot_ggml_direct_ms_max=0.000000
benchmark_hotspot_f32_fallback_ms_median=144.950000 benchmark_hotspot_f32_fallback_ms_min=140.853000 benchmark_hotspot_f32_fallback_ms_max=146.629000
benchmark_hotspot_q4_k_direct_calls_median=512.000000 benchmark_hotspot_q4_k_direct_calls_min=512.000000 benchmark_hotspot_q4_k_direct_calls_max=512.000000
benchmark_hotspot_ggml_direct_calls_median=0.000000 benchmark_hotspot_ggml_direct_calls_min=0.000000 benchmark_hotspot_ggml_direct_calls_max=0.000000
benchmark_hotspot_f32_fallback_calls_median=6208.000000 benchmark_hotspot_f32_fallback_calls_min=6208.000000 benchmark_hotspot_f32_fallback_calls_max=6208.000000
benchmark_q4_k_direct_tensors_median=16.000000 benchmark_q4_k_direct_tensors_min=16.000000 benchmark_q4_k_direct_tensors_max=16.000000
benchmark_ggml_direct_tensors_median=0.000000 benchmark_ggml_direct_tensors_min=0.000000 benchmark_ggml_direct_tensors_max=0.000000
benchmark_f32_fallback_tensors_median=256.000000 benchmark_f32_fallback_tensors_min=256.000000 benchmark_f32_fallback_tensors_max=256.000000

[summary:lcqi_serial_same_input]
rounds=5
benchmark_load_ms_median=265.087000 benchmark_load_ms_min=263.726000 benchmark_load_ms_max=267.113000
benchmark_prefill_ms_median=134.075000 benchmark_prefill_ms_min=130.157000 benchmark_prefill_ms_max=136.236000
