target_arch,input_size,output_size,output_block,repeat,backend,available,average_us,max_abs_diff,checksum
aarch64,128,128,16,200,scalar,1,15.312,0,-4.22656
aarch64,128,128,16,200,packed_scalar,1,33.731,0,-4.22656
aarch64,128,128,16,200,avx2,0,0,0,0
aarch64,128,128,16,200,neon,1,5.30755,0,-4.22656
aarch64,256,256,16,200,scalar,1,63.6661,0,-0.976562
aarch64,256,256,16,200,packed_scalar,1,47.7086,0,-0.976562
aarch64,256,256,16,200,avx2,0,0,0,0
aarch64,256,256,16,200,neon,1,14.5154,0,-0.976562
aarch64,512,512,16,200,scalar,1,280.195,0,0.412109
aarch64,512,512,16,200,packed_scalar,1,173.169,0,0.412109
aarch64,512,512,16,200,avx2,0,0,0,0
aarch64,512,512,16,200,neon,1,36.6846,0,0.412109
aarch64,513,257,16,200,scalar,1,136.218,0,-1.80273
aarch64,513,257,16,200,packed_scalar,1,93.2565,0,-1.80273
aarch64,513,257,16,200,avx2,0,0,0,0
aarch64,513,257,16,200,neon,1,20.1917,0,-1.80273
aarch64,1024,4096,16,50,scalar,1,4757.07,0,-1.27148
aarch64,1024,4096,16,50,packed_scalar,1,3014.18,0,-1.27148
aarch64,1024,4096,16,50,avx2,0,0,0,0
aarch64,1024,4096,16,50,neon,1,702.123,0,-1.27148
