target_arch,input_size,output_size,output_block,repeat,backend,available,average_us,max_abs_diff,checksum
aarch64,128,128,16,40,scalar,1,14.3698,0,-4.22656
aarch64,128,128,16,40,packed_scalar,1,24.6576,0,-4.22656
aarch64,128,128,16,40,avx2,0,0,0,0
aarch64,128,128,16,40,neon,1,4.4336,0,-4.22656
aarch64,256,256,16,40,scalar,1,68.2669,0,-0.976562
aarch64,256,256,16,40,packed_scalar,1,100.465,0,-0.976562
aarch64,256,256,16,40,avx2,0,0,0,0
aarch64,256,256,16,40,neon,1,17.0729,0,-0.976562
aarch64,512,512,16,40,scalar,1,295.02,0,0.412109
aarch64,512,512,16,40,packed_scalar,1,389.307,0,0.412109
aarch64,512,512,16,40,avx2,0,0,0,0
aarch64,512,512,16,40,neon,1,67.332,0,0.412109
aarch64,513,257,16,40,scalar,1,149.659,0,-1.80273
aarch64,513,257,16,40,packed_scalar,1,201.329,0,-1.80273
aarch64,513,257,16,40,avx2,0,0,0,0
aarch64,513,257,16,40,neon,1,34.5703,0,-1.80273
aarch64,1024,4096,16,10,scalar,1,4895.57,0,-1.27148
aarch64,1024,4096,16,10,packed_scalar,1,6227.6,0,-1.27148
aarch64,1024,4096,16,10,avx2,0,0,0,0
aarch64,1024,4096,16,10,neon,1,1079.84,0,-1.27148
aarch64,4096,4096,16,10,scalar,1,20188.1,0,-1.14258
aarch64,4096,4096,16,10,packed_scalar,1,25052.9,0,-1.14258
aarch64,4096,4096,16,10,avx2,0,0,0,0
aarch64,4096,4096,16,10,neon,1,4322.2,0,-1.14258
