row_type,request_id,accepted,rejection_reason,prompt_tokens,reserved_tokens,kv_reserved_mib,queue_wait_ms,prefill_ms,ttft_ms,decode_step_p95_ms,tpot_ms,completion_tokens,finish_reason,cancel_reclaim_ms,metric_name,metric_value
request,req_short,1,none,32,36,4.500,0.000,2.560,16.560,14.204,14.204,4,max_tokens,0.000,,
request,req_rag,1,none,512,520,65.000,8.000,40.960,62.960,14.322,14.322,8,max_tokens,0.000,,
request,req_cancel,1,none,128,144,18.000,16.000,10.240,40.240,14.230,14.230,0,cancelled,2.000,,
request,req_too_long,0,memory_budget_exceeded,4096,4608,576.000,0.000,0.000,0.000,0.000,0.000,0,rejected,0.000,,
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,accepted_count,3.000
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,2.000,cancel_count,1.000
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,rejected_count,1.000
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,rejection_rate,0.250
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,kv_reserved_peak_mib,87.500
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,queue_wait_p95_ms,16.000
summary,all,0,summary,0,0,0,0,0,0,0,0,0,summary,0,ttft_p95_ms,62.960
