target_arch,input_size,output_size,output_block,repeat,backend,available,average_us,max_abs_diff,checksum
x86_64,128,128,16,20,scalar,1,3.87065,0,-4.22656
x86_64,128,128,16,20,packed_scalar,1,5.5074,0,-4.22656
x86_64,128,128,16,20,avx2,1,1.58455,0,-4.22656
x86_64,256,256,16,20,scalar,1,17.5105,0,-0.976562
x86_64,256,256,16,20,packed_scalar,1,20.9761,0,-0.976562
x86_64,256,256,16,20,avx2,1,6.0029,0,-0.976562
x86_64,512,512,16,20,scalar,1,79.9401,0,0.412109
x86_64,512,512,16,20,packed_scalar,1,85.6781,0,0.412109
x86_64,512,512,16,20,avx2,1,24.5353,0,0.412109
x86_64,513,257,16,20,scalar,1,40.341,0,-1.80273
x86_64,513,257,16,20,packed_scalar,1,49.1776,0,-1.80273
x86_64,513,257,16,20,avx2,1,12.335,0,-1.80273
x86_64,1024,4096,16,5,scalar,1,1405.86,0,-1.27148
x86_64,1024,4096,16,5,packed_scalar,1,1396.64,0,-1.27148
x86_64,1024,4096,16,5,avx2,1,473.064,0,-1.27148
x86_64,4096,4096,16,5,scalar,1,5870.92,0,-1.14258
x86_64,4096,4096,16,5,packed_scalar,1,5734.72,0,-1.14258
x86_64,4096,4096,16,5,avx2,1,1559.09,0,-1.14258
